Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
0.001,74.4239,18.98,0.0763,0.9237,0.033
0.002,73.7203,23.36,0.0703,0.9297,0.0308
0.003,74.2128,21.17,0.0737,0.9263,0.0341
0.004,74.6702,21.9,0.0743,0.9257,0.0354
0.005,75.5321,22.63,0.0762,0.9238,0.0359
0.006,75.3386,21.17,0.077,0.923,0.0364
0.007,74.5295,20.44,0.0753,0.9247,0.0338
0.008,76.5523,21.17,0.081,0.919,0.039
0.2,82.5858,2.92,0.1343,0.8657,0.0899
0.3,73.7027,7.3,0.0849,0.9151,0.0488
0.4,73.5972,2.92,0.0886,0.9114,0.0486
0.5,52.6121,13.87,0.0438,0.9562,0.0193
0.6,44.1865,17.52,0.0356,0.9644,0.0126
0.7,44.1865,17.52,0.0356,0.9644,0.0126
0.8,43.8522,3.65,0.0414,0.9586,0.0125
0.9,43.8522,3.65,0.0414,0.9586,0.0125
2,75.6728,20.44,0.0788,0.9212,0.0376
5,75.2682,22.63,0.0754,0.9246,0.0334
10,74.0897,21.9,0.0726,0.9274,0.0326
50,79.0853,20.44,0.0917,0.9083,0.0488
100,81.7766,19.71,0.1062,0.8938,0.0589
