Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
0.1,61.0202,25.55,0.046,0.954,0.0144
0.2,59.8241,24.82,0.0451,0.9549,0.0149
0.3,58.7687,26.279999999999998,0.0431,0.9569,0.0149
0.4,57.1152,25.55,0.0418,0.9582,0.0131
0.5,55.6728,26.279999999999998,0.0401,0.9599,0.0123
0.6,53.949,23.36,0.0401,0.9599,0.0115
0.7,52.2955,23.36,0.0387,0.9613,0.0107
0.8,50.9938,21.9,0.0384,0.9616,0.0104
0.9,49.9033,22.63,0.0372,0.9628,0.0102
1,48.8303,22.63,0.0364,0.9636,0.01
5,36.4292,16.06,0.0318,0.9682,0.008
10,33.949,14.6,0.0312,0.9688,0.0077
