Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
5,88.7971,35.709999999999994,0.0829,0.9171,0.053
5, 57.555,2.15,0.1886,0.8114,0.0249
10,87.971,31.15,0.0704,0.9296,0.0553
15,85.1154,33.33,0.0568,0.9432,0.0465
20,80.4046,21.17,0.0969,0.9031,0.0539
25,83.3943,27.1,0.0859,0.9141,0.0694
30,83.8453,31.730000000000004,0.0794,0.9206,0.06045,
10,76.0598,2.37,0.3336,0.6664,0.0536
5,57.6781,2.8000000000000003,0.1879,0.8121,0.0245
20,78.6983,9.700000000000001,0.223,0.777,0.0875
